tName	0	0	qName
chr8	91999923	91999923	233305_at
chr8	92030198	92030198	1561639_at
chr8	92038590	92038590	235759_at
chr8	92040078	92040078	1557961_s_at
chr8	92052989	92052989	228107_at
chr8	92098735	92098735	226338_at
chr8	92148148	92148148	227765_at
chr8	92149976	92149976	226341_at
chr8	92160118	92160118	222825_at
chr8	92208789	92208789	238214_at
chr8	92403406	92403406	1552826_at
chr8	92403406	92403406	1552827_s_at
chr8	92479336	92479336	239006_at
chr8	93036593	93036593	242845_at
chr8	93038716	93038716	228827_at
chr8	93092346	93092346	205528_s_at
chr8	93092347	93092347	205529_s_at
chr8	93057488	93057488	216831_s_at
chr8	93057488	93057488	216832_at
chr8	93092300	93092300	1564642_at
chr8	93171840	93171840	244420_at
chr8	94006224	94006224	225599_s_at
chr8	94006224	94006224	225600_at
chr8	94006224	94006224	225603_s_at
chr8	93966113	93966113	224158_s_at
chr8	94040855	94040855	1562066_at
chr8	94066134	94066134	1561789_at
chr8	94604853	94604853	1561423_at
chr8	94781436	94781436	238244_at
chr8	94798720	94798720	235391_at
chr8	94800998	94800998	228011_at
chr8	94798005	94798005	244014_x_at
chr8	94807882	94807882	237910_x_at
chr8	94809067	94809067	240127_at
chr8	94813133	94813133	238122_at
chr8	94814355	94814355	51228_at
chr8	94815483	94815483	221929_at
chr8	94815461	94815461	51226_at
chr8	94821850	94821850	220222_at
chr8	94867227	94867227	1563646_a_at
chr8	94838596	94838596	1569377_at
chr8	94837396	94837396	1569411_at
chr8	94868482	94868482	1552763_at
chr8	94868482	94868482	1552765_x_at
chr8	94872902	94872902	232023_at
chr8	94899197	94899197	238229_at
chr8	95002092	95002092	218273_s_at
chr8	95002932	95002932	222572_at
chr8	95249422	95249422	209847_at
chr8	95337179	95337179	204472_at
chr8	95504916	95504916	219494_at
chr8	95509483	95509483	235846_at
chr8	95515829	95515829	220549_at
chr8	95569444	95569444	238818_at
chr8	95588864	95588864	223110_at
chr8	95591641	95591641	243927_x_at
chr8	95628882	95628882	224067_at
chr8	95634220	95634220	244737_at
chr8	95757761	95757761	219121_s_at
chr8	95772329	95772329	225846_at
chr8	95813903	95813903	1556613_s_at
chr8	95872838	95872838	213391_at
chr8	95874612	95874612	226721_at
chr8	95946312	95946312	218905_at
chr8	95968647	95968647	205034_at
chr8	95969330	95969330	211814_s_at
chr8	96008977	96008977	225912_at
chr8	96016640	96016640	244721_at
chr8	96025969	96025969	235602_at
chr8	96062924	96062924	236766_at
chr8	96069671	96069671	1556571_at
chr8	96122934	96122934	235509_at
chr8	96135111	96135111	230016_at
chr8	96151267	96151267	1556755_s_at
chr8	96226658	96226658	222699_s_at
chr8	96226719	96226719	218640_s_at
chr8	96326652	96326652	244569_at
chr8	97067928	97067928	1564772_at
chr8	97308734	97308734	244293_at
chr8	97314448	97314448	209065_at
chr8	97314635	97314635	205849_s_at
chr8	97314667	97314667	209066_x_at
chr8	97330383	97330383	219363_s_at
chr8	97379646	97379646	201433_s_at
chr8	97634204	97634204	212154_at
chr8	97634204	97634204	212157_at
chr8	97634204	97634204	212158_at
chr8	97975687	97975687	208454_s_at
chr8	98045591	98045591	203501_at
